Season,Award_Cat,Award_Name,Lookupkey,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,SEASON,UID,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1011,G3,Chris Paul ,1011Chris Paul,PG,25,NOH,80,80,2880,23.7,0.578,0.197,0.414,1.6,12.3,6.9,45.8,3.5,0.1,13.9,21.1,9.5,4.4,13.9,0.232,5.4,1,6.4,6.1,1011,1011326,430,928,.463,71,183,.388,359,745,.482,.502,337,384,.878,38,289,327,782,188,5,177,196,1268
0910,G1,Kobe Bryant ,0910Kobe Bryant,SG,31,LAL,73,73,2835,21.9,0.545,0.192,0.345,3.1,12.2,7.7,23.8,2.1,0.5,11.4,32.3,5.4,4,9.4,0.16,3.6,-0.1,3.6,4,0910,091068,716,1569,.456,99,301,.329,617,1268,.487,.488,439,541,.811,78,313,391,365,113,20,233,187,1970
0910,G2,Deron Williams ,0910Deron Williams,PG,25,UTA,76,76,2802,20.6,0.574,0.246,0.397,2.2,10.4,6.4,44.5,1.8,0.5,16.9,23.8,7.4,3,10.3,0.177,4.3,-1,3.3,3.7,0910,0910425,494,1053,.469,96,259,.371,398,794,.501,.515,335,418,.801,50,253,303,798,96,16,252,208,1419
0910,G3,Brandon Roy ,0910Brandon Roy,SG,25,POR,65,65,2419,21.3,0.568,0.213,0.424,3.7,10.9,7.3,23.1,1.4,0.5,9.5,26.7,7,2.1,9.1,0.18,4.8,-0.7,4.1,3.7,0910,0910356,491,1038,.473,73,221,.330,418,817,.512,.508,343,440,.780,73,212,285,305,61,16,129,136,1398
0809,G1,Kobe Bryant ,0809Kobe Bryant,SG,30,LAL,82,82,2960,24.4,0.561,0.196,0.329,3.5,12.8,8.2,23.8,2.1,1,9.7,32.2,8.6,4,12.7,0.206,4.8,-0.2,4.5,4.9,0809,080968,800,1712,.467,118,336,.351,682,1376,.496,.502,483,564,.856,90,339,429,399,120,37,210,189,2201
0809,G2,Brandon Roy ,0809Brandon Roy,SG,24,POR,78,78,2903,24,0.573,0.167,0.383,4.4,11.6,7.9,25.4,1.7,0.6,9,27.4,10.9,2.6,13.5,0.223,5.9,-0.2,5.8,5.7,0809,0809351,633,1318,.480,83,220,.377,550,1098,.501,.512,416,505,.824,104,266,370,400,88,22,152,127,1765
0809,G3,Tony Parker ,0809Tony Parker,PG,26,SAS,72,71,2456,23.4,0.556,0.051,0.287,1.3,9.4,5.4,40.1,1.5,0.1,11.6,31.7,5.6,3,8.6,0.168,3.9,-0.8,3.1,3.2,0809,0809316,639,1263,.506,19,65,.292,620,1198,.518,.513,284,363,.782,27,196,223,496,67,4,186,110,1581
0708,G1,Kobe Bryant ,0708Kobe Bryant,SG,29,LAL,82,82,3192,24.2,0.576,0.246,0.439,3.4,14.1,9,23.9,2.4,0.9,11.3,31.4,9.5,4.3,13.8,0.208,5.1,0.3,5.4,6,0708,070866,775,1690,.459,150,415,.361,625,1275,.490,.503,623,742,.840,94,423,517,441,151,40,257,227,2323
0708,G2,Steve Nash ,0708Steve Nash,PG,33,PHO,81,81,2780,21.1,0.641,0.396,0.255,1.2,9.6,5.7,47.3,0.9,0.1,21.6,22,9,1.4,10.5,0.181,4.8,-3.2,1.6,2.6,0708,0708293,485,962,.504,179,381,.470,306,581,.527,.597,222,245,.906,28,254,282,898,53,5,295,113,1371
0708,G3,Tracy McGrady ,0708Tracy McGrady,SG,28,HOU,66,62,2440,18.4,0.487,0.226,0.274,2,13.5,7.8,29.6,1.5,0.9,9.8,30.4,2,3.8,5.8,0.115,1.7,0.7,2.4,2.7,0708,0708270,548,1307,.419,86,295,.292,462,1012,.457,.452,245,358,.684,42,297,339,387,68,30,160,91,1427
0607,G1,Kobe Bryant ,0607Kobe Bryant,SG,28,LAL,77,77,3140,26.1,0.58,0.227,0.437,2.8,13.5,8.2,25.5,1.8,0.9,10.9,33.6,10.8,2.2,13,0.199,6.1,-1.4,4.7,5.3,0607,060764,813,1757,.463,137,398,.344,676,1359,.497,.502,667,768,.868,75,364,439,413,111,36,255,205,2430
0607,G2,Gilbert Arenas ,0607Gilbert Arenas,PG,25,WAS,74,73,2942,24,0.565,0.377,0.464,2.3,11.1,6.6,27.2,2.4,0.3,11.2,31.4,9.3,1.5,10.8,0.177,7,-2,5,5.2,0607,060714,647,1548,.418,205,584,.351,442,964,.459,.484,606,718,.844,61,277,338,443,139,13,236,249,2105
0607,G3,Dwyane Wade ,0607Dwyane Wade,SG,25,MIA,51,50,1931,28.9,0.583,0.082,0.556,3.2,11.2,7.3,40.5,3,2.5,15.3,34.7,5.9,2.9,8.8,0.219,6.5,1.9,8.4,5.1,0607,0607419,472,962,.491,21,79,.266,451,883,.511,.502,432,535,.807,51,188,239,384,107,62,216,117,1397
0506,G1,Kobe Bryant ,0506Kobe Bryant,SG,28,LAL,77,80,3140,26.1,0.58,0.227,0.437,2.8,13.5,8.2,25.5,1.8,0.9,10.9,33.6,10.8,2.2,13,0.199,6.1,-1.4,4.7,5.3,0506,050664,978,2173,.450,180,518,.347,798,1655,.482,.491,696,819,.850,71,354,425,360,147,30,250,233,2832
0506,G2,Chauncey Billups ,0506Chauncey Billups,PG,30,DET,70,81,2533,21.3,0.591,0.388,0.536,1.1,10,5.6,32.9,1.8,0.5,12.2,21.5,8.7,2.7,11.4,0.216,5.4,-0.9,4.4,4.1,0506,050640,423,1012,.418,184,425,.433,239,587,.407,.509,465,520,.894,41,211,252,699,71,8,170,160,1495
0506,G3,Gilbert Arenas ,0506Gilbert Arenas,PG,25,WAS,74,80,2942,24,0.565,0.377,0.464,2.3,11.1,6.6,27.2,2.4,0.3,11.2,31.4,9.3,1.5,10.8,0.177,7,-2,5,5.2,0506,050614,746,1668,.447,199,540,.369,547,1128,.485,.507,655,799,.820,59,221,280,484,161,25,297,286,2346
