Season,LookupKey,Rk,Player,PlayerID,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1617,1617Ish Smith,387,Ish Smith,smithis01,PG,28,DET,56,1317,13.8,0.483,0.146,0.146,1.2,11.7,6.3,30.8,1.5,1.4,14.1,19.2,0.5,1.5,1.9,0.07,-1.6,0.3,-1.3,0.2,21,1317,204,458,0.445,17,67,0.254,187,391,0.478,0.464,46,67,0.687,14,136,150,271,39,22,80,86,471
1617,1617J.R. Smith,388,J.R. Smith,smithjr01,SG,31,CLE,21,607,7.8,0.481,0.75,0.049,1.5,6.5,4.1,5.9,2.1,1.2,7.4,14.7,0,0.5,0.5,0.038,-0.7,0,-0.7,0.2,21,607,62,184,0.337,50,138,0.362,12,46,0.261,0.473,7,9,0.778,8,37,45,26,26,9,15,47,181
1617,1617Jason Smith,389,Jason Smith,smithja02,C,30,WAS,53,710,12.5,0.574,0.098,0.168,8.4,18.8,13.7,3.7,1,4.4,15.5,16.9,0.4,1,1.4,0.093,-3.3,0.6,-2.7,-0.1,0,710,115,214,0.537,10,21,0.476,105,193,0.544,0.561,24,36,0.667,52,120,172,18,15,37,42,122,264
1617,1617Tony Snell,390,Tony Snell,snellto01,SG,25,MIL,54,1541,9.6,0.606,0.679,0.106,1.2,11.9,6.7,6,0.9,0.7,8.5,11.7,1.5,0.7,2.2,0.07,0.4,-1.3,-0.9,0.4,54,1541,160,349,0.458,95,237,0.401,65,112,0.58,0.595,28,37,0.757,16,164,180,66,28,13,34,86,443
1617,1617Marreese Speights,391,Marreese Speights,speigma01,C,29,LAC,56,924,19.7,0.599,0.493,0.304,7.9,23,15.6,8.6,1,2.4,8.5,24.4,2.5,1.2,3.7,0.193,2.8,-1,1.8,0.9,1,924,183,408,0.449,79,201,0.393,104,207,0.502,0.545,109,124,0.879,64,197,261,49,19,28,43,163,554
1617,1617Nik Stauskas,392,Nik Stauskas,stausni01,SG,23,PHI,54,1459,9.1,0.55,0.565,0.238,1.1,10.1,5.6,12.6,1,1.3,15.5,15.6,0.2,1,1.2,0.04,-1.7,-0.5,-2.1,0,24,1459,162,400,0.405,85,226,0.376,77,174,0.443,0.511,77,95,0.811,14,134,148,121,29,24,81,101,486
1617,1617Lance Stephenson,393,Lance Stephenson,stephla01,SG,26,TOT,10,211,9.7,0.491,0.153,0.139,1.5,11.5,6.4,23.8,0.5,0.4,14.5,18.8,0,0.1,0.1,0.015,-3.6,-2.5,-6.1,-0.2,0,211,34,72,0.472,1,11,0.091,33,61,0.541,0.479,6,10,0.6,3,22,25,32,2,1,13,20,75
1617,1617Lance Stephenson,393,Lance Stephenson,stephla01,SG,26,NOP,6,162,10.3,0.496,0.182,0.145,1.9,9.8,5.8,28.2,0.6,0.5,15.8,19,0,0.1,0.1,0.026,-2.9,-2.1,-5.1,-0.1,0,211,34,72,0.472,1,11,0.091,33,61,0.541,0.479,6,10,0.6,3,22,25,32,2,1,13,20,75
1617,1617Lance Stephenson,393,Lance Stephenson,stephla01,SG,26,MIN,4,49,7.5,0.475,0.059,0.118,0,16.9,8.3,9.5,0,0,10.1,18,0,0,0,-0.024,-5.9,-3.5,-9.4,-0.1,0,211,34,72,0.472,1,11,0.091,33,61,0.541,0.479,6,10,0.6,3,22,25,32,2,1,13,20,75
1617,1617Jarnell Stokes,394,Jarnell Stokes,stokeja01,PF,23,DEN,2,7,31.6,0.798,0,2,15.7,16.1,15.9,40.9,7,0,0,11.3,0.1,0,0.1,0.47,11.9,3.4,15.3,0,0,7,1,1,1,0,0,0,1,1,1,1,1,2,0.5,1,1,2,2,1,0,0,3,3
